Total Number of Records            256.
             DATA SET: http://ddo-aviso.vlandata.cls.fr:41080/thredds/dodsC/dataset-duacs-rep-global-merged-allsat-phy-l4
             DT merged all satellites Global Ocean Gridded SSALTO/DUACS Sea Surface Height L4 product and derived variables
             X: 0.5 to 256.5
 Column  1: DATETIME is Time String
 Column  2: TIME is Time Coordinates (days since 01-JAN-1950 00:00:00)   BAD FLAG : -1.E+34
 Column  3: LON is Longitude (degrees_east)   BAD FLAG : -1.E+34
 Column  4: LAT is Latitude (degrees_north)   BAD FLAG : -1.E+34
 Column  5: ADT is Absolute dynamic topography (m)   BAD FLAG : -1.E+34
DATETIME,TIME,LON,LAT,ADT
"13-AUG-2018",25061,122.125,24.125,1.1874  
"13-AUG-2018",25061,122.375,24.125,1.3123  
"13-AUG-2018",25061,122.625,24.125,1.4134  
"13-AUG-2018",25061,122.875,24.125,1.4745  
"13-AUG-2018",25061,123.125,24.125,1.5006  
"13-AUG-2018",25061,123.375,24.125,1.5166  
"13-AUG-2018",25061,123.625,24.125,1.5375  
"13-AUG-2018",25061,123.875,24.125,1.5505  
"13-AUG-2018",25061,124.125,24.125,1.5563  
"13-AUG-2018",25061,124.375,24.125,1.5634  
"13-AUG-2018",25061,124.625,24.125,1.5684  
"13-AUG-2018",25061,124.875,24.125,1.5709  
"13-AUG-2018",25061,121.125,24.375,-1.E+34  
"13-AUG-2018",25061,121.375,24.375,-1.E+34  
"13-AUG-2018",25061,121.625,24.375,-1.E+34  
"13-AUG-2018",25061,121.875,24.375,1.0495  
"13-AUG-2018",25061,122.125,24.375,1.0926  
"13-AUG-2018",25061,122.375,24.375,1.1934  
"13-AUG-2018",25061,122.625,24.375,1.2978  
"13-AUG-2018",25061,122.875,24.375,1.3775  
"13-AUG-2018",25061,123.125,24.375,1.429  
"13-AUG-2018",25061,123.375,24.375,1.4725  
"13-AUG-2018",25061,123.625,24.375,1.5138  
"13-AUG-2018",25061,123.875,24.375,1.5344  
"13-AUG-2018",25061,124.125,24.375,1.5405  
"13-AUG-2018",25061,124.375,24.375,1.5422  
"13-AUG-2018",25061,124.625,24.375,1.5375  
"13-AUG-2018",25061,124.875,24.375,1.537  
"13-AUG-2018",25061,121.125,24.625,-1.E+34  
"13-AUG-2018",25061,121.375,24.625,-1.E+34  
"13-AUG-2018",25061,121.625,24.625,-1.E+34  
"13-AUG-2018",25061,121.875,24.625,1.033  
"13-AUG-2018",25061,122.125,24.625,1.023  
"13-AUG-2018",25061,122.375,24.625,1.0753  
"13-AUG-2018",25061,122.625,24.625,1.1626  
"13-AUG-2018",25061,122.875,24.625,1.2575  
"13-AUG-2018",25061,123.125,24.625,1.3444  
"13-AUG-2018",25061,123.375,24.625,1.4242  
"13-AUG-2018",25061,123.625,24.625,1.4897  
"13-AUG-2018",25061,123.875,24.625,1.5245  
"13-AUG-2018",25061,124.125,24.625,1.5378  
"13-AUG-2018",25061,124.375,24.625,1.5463  
"13-AUG-2018",25061,124.625,24.625,1.5459  
"13-AUG-2018",25061,124.875,24.625,1.5396  
"13-AUG-2018",25061,121.125,24.875,-1.E+34  
"13-AUG-2018",25061,121.375,24.875,-1.E+34  
"13-AUG-2018",25061,121.625,24.875,-1.E+34  
"13-AUG-2018",25061,121.875,24.875,1.0423  
"13-AUG-2018",25061,122.125,24.875,0.9992  
"13-AUG-2018",25061,122.375,24.875,0.9948  
"13-AUG-2018",25061,122.625,24.875,1.041  
"13-AUG-2018",25061,122.875,24.875,1.1343  
"13-AUG-2018",25061,123.125,24.875,1.2494  
"13-AUG-2018",25061,123.375,24.875,1.3595  
"13-AUG-2018",25061,123.625,24.875,1.4484  
