Total Number of Records            256.
             DATA SET: http://ddo-aviso.vlandata.cls.fr:41080/thredds/dodsC/dataset-duacs-rep-global-merged-allsat-phy-l4
             DT merged all satellites Global Ocean Gridded SSALTO/DUACS Sea Surface Height L4 product and derived variables
             X: 0.5 to 256.5
 Column  1: DATETIME is Time String
 Column  2: TIME is Time Coordinates (days since 01-JAN-1950 00:00:00)   BAD FLAG : -1.E+34
 Column  3: LON is Longitude (degrees_east)   BAD FLAG : -1.E+34
 Column  4: LAT is Latitude (degrees_north)   BAD FLAG : -1.E+34
 Column  5: SLA is Sea level anomaly (m)   BAD FLAG : -1.E+34
DATETIME,TIME,LON,LAT,SLA
"13-AUG-2018",25061,122.875,25.125,0.0062  
"13-AUG-2018",25061,123.125,25.125,0.0239  
"13-AUG-2018",25061,123.375,25.125,0.0773  
"13-AUG-2018",25061,123.625,25.125,0.1378  
"13-AUG-2018",25061,123.875,25.125,0.18  
"13-AUG-2018",25061,124.125,25.125,0.1992  
"13-AUG-2018",25061,124.375,25.125,0.212  
"13-AUG-2018",25061,124.625,25.125,0.2254  
"13-AUG-2018",25061,124.875,25.125,0.2304  
"13-AUG-2018",25061,121.125,25.375,0.1843  
"13-AUG-2018",25061,121.375,25.375,0.2027  
"13-AUG-2018",25061,121.625,25.375,0.2245  
"13-AUG-2018",25061,121.875,25.375,0.2267  
"13-AUG-2018",25061,122.125,25.375,0.2  
"13-AUG-2018",25061,122.375,25.375,0.1417  
"13-AUG-2018",25061,122.625,25.375,0.0631  
"13-AUG-2018",25061,122.875,25.375,0.0014  
"13-AUG-2018",25061,123.125,25.375,-0.0154  
"13-AUG-2018",25061,123.375,25.375,0.0112  
"13-AUG-2018",25061,123.625,25.375,0.0615  
"13-AUG-2018",25061,123.875,25.375,0.1109  
"13-AUG-2018",25061,124.125,25.375,0.1479  
"13-AUG-2018",25061,124.375,25.375,0.1792  
"13-AUG-2018",25061,124.625,25.375,0.2064  
"13-AUG-2018",25061,124.875,25.375,0.2204  
"13-AUG-2018",25061,121.125,25.625,0.1757  
"13-AUG-2018",25061,121.375,25.625,0.2081  
"13-AUG-2018",25061,121.625,25.625,0.2375  
"13-AUG-2018",25061,121.875,25.625,0.2365  
"13-AUG-2018",25061,122.125,25.625,0.2064  
"13-AUG-2018",25061,122.375,25.625,0.1556  
"13-AUG-2018",25061,122.625,25.625,0.0859  
"13-AUG-2018",25061,122.875,25.625,0.015  
"13-AUG-2018",25061,123.125,25.625,-0.029  
"13-AUG-2018",25061,123.375,25.625,-0.0316  
"13-AUG-2018",25061,123.625,25.625,0.0011  
"13-AUG-2018",25061,123.875,25.625,0.0484  
"13-AUG-2018",25061,124.125,25.625,0.0949  
"13-AUG-2018",25061,124.375,25.625,0.1371  
"13-AUG-2018",25061,124.625,25.625,0.171  
"13-AUG-2018",25061,124.875,25.625,0.1909  
"13-AUG-2018",25061,121.125,25.875,0.1623  
"13-AUG-2018",25061,121.375,25.875,0.2019  
"13-AUG-2018",25061,121.625,25.875,0.2343  
"13-AUG-2018",25061,121.875,25.875,0.2287  
"13-AUG-2018",25061,122.125,25.875,0.193  
"13-AUG-2018",25061,122.375,25.875,0.1476  
"13-AUG-2018",25061,122.625,25.875,0.0937  
"13-AUG-2018",25061,122.875,25.875,0.0333  
"13-AUG-2018",25061,123.125,25.875,-0.0165  
"13-AUG-2018",25061,123.375,25.875,-0.0358  
"13-AUG-2018",25061,123.625,25.875,-0.0215  
"13-AUG-2018",25061,123.875,25.875,0.0116  
"13-AUG-2018",25061,124.125,25.875,0.0501  
"13-AUG-2018",25061,124.375,25.875,0.0868  
"13-AUG-2018",25061,124.625,25.875,0.1155  
"13-AUG-2018",25061,124.875,25.875,0.1342  
