PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH LEVEL0 (meter),QC
5200811,127025,2015-11-09T13:00:00Z,21.5244,141.0694,0,001117
5200811,127025,2015-11-09T14:00:00Z,21.5244,141.0694,0,001117
5200811,127025,2015-11-09T15:00:00Z,21.5241,141.0425,0,001117
5200811,127025,2015-11-09T16:00:00Z,21.5241,141.0425,0,001117
5200811,127025,2015-11-09T17:00:00Z,21.5254,141.0405,0,001117
5200811,127025,2015-11-09T18:00:00Z,21.5254,141.0375,0,001117
5200811,127025,2015-11-09T19:00:00Z,21.5274,141.0178,0,001117
5200811,127025,2015-11-09T20:00:00Z,21.5286,141.0186,0,001117
5200811,127025,2015-11-09T21:00:00Z,21.5234,141.0129,0,001117
5200811,127025,2015-11-09T22:00:00Z,21.5242,141.0164,0,001117
5200811,127025,2015-11-09T23:00:00Z,21.5242,141.0164,0,001117
5200811,127025,2015-11-10T00:00:00Z,21.5254,140.9952,0,001117
5200811,127025,2015-11-10T01:00:00Z,21.5254,140.9952,0,001117
5200811,127025,2015-11-10T02:00:00Z,21.5338,140.9914,0,001117
5200811,127025,2015-11-10T03:00:00Z,21.5389,140.9569,0,001117
5200811,127025,2015-11-10T04:00:00Z,21.5389,140.9569,0,001117
5200811,127025,2015-11-10T05:00:00Z,21.5484,140.9460,0,001117
5200811,127025,2015-11-10T06:00:00Z,21.5484,140.9460,0,001117
5200811,127025,2015-11-10T07:00:00Z,21.5528,140.9292,0,001117
5200811,127025,2015-11-10T08:00:00Z,21.5640,140.9239,0,001117
5200811,127025,2015-11-10T09:00:00Z,21.5464,140.9233,0,001117
5200811,127025,2015-11-10T10:00:00Z,21.5464,140.9233,0,001117
5200811,127025,2015-11-10T11:00:00Z,21.5474,140.9081,0,001117
5200811,127025,2015-11-10T12:00:00Z,21.5463,140.9082,0,001117
5200811,127025,2015-11-10T13:00:00Z,21.5432,140.9066,0,001117
5200811,127025,2015-11-10T14:00:00Z,21.5432,140.9066,0,001117
5200811,127025,2015-11-10T15:00:00Z,21.5488,140.8923,0,001117
5200811,127025,2015-11-10T16:00:00Z,21.5432,140.9066,0,001117
5200811,127025,2015-11-10T17:00:00Z,21.5460,140.8913,0,001117
