PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),QC,STATION_PARAMETERS,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,1250.5,3.114,34.45,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,1300.7,3.023,34.476,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,1350.7,2.857,34.485,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,1400,2.777,34.497,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,1450.2,2.643,34.516,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,1500,2.553,34.528,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,1550.7,2.489,34.538,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,1600,2.407,34.55,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,1650.1,2.348,34.56,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,1700.3,2.289,34.57,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,1750.1,2.249,34.578,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,1800.3,2.196,34.585,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,1850.2,2.156,34.591,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,1900.2,2.104,34.599,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,1950,2.076,34.603,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,1999.6,2.047,34.607,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
