PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),PRES_ADJUSTED (decibar),TEMP_ADJUSTED (degree_Celsius),PSAL_ADJUSTED (psu),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,PREDEPLOYMENT_CALIB_COEFFICIENT,PREDEPLOYMENT_CALIB_COMMENT,STATION_PARAMETERS,CALIBRATION_DATE,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER,DATA_MODE
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,374.5,11.974,34.407,374.5,11.974,34.4087,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,398.9,10.977,34.403,398.9,10.977,34.4048,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,423.6,9.911,34.383,423.6,9.911,34.3845,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,448.9,9.072,34.364,448.9,9.072,34.3646,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,473.8,8.743,34.36,473.8,8.743,34.361,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,499,8.198,34.353,499,8.198,34.354,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,524.5,7.665,34.359,524.5,7.665,34.3593,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,549.3,7.506,34.362,549.3,7.506,34.3628,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,574.5,7.09,34.383,574.5,7.09,34.3835,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,599,6.859,34.388,599,6.859,34.3884,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
