PLATFORM,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH (meter),TEMP (degree_Celsius),QC,STATION_NUMBER
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,137,22.917,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,138,22.8865,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,139,22.872,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,140,22.8255,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,141,22.729,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,142,22.6215,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,143,22.5245,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,144,22.466,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,145,22.4,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,146,22.322,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,147,22.37,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,148,22.354,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,149,22.3,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,150,22.258,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,151,22.203,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,152,22.159,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,153,22.0865,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,154,22.025,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,155,21.9215,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,156,21.795,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,157,21.775,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,158,21.74,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,159,21.721,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,160,21.709,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,161,21.698,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,162,21.655,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,163,21.6145,011111,13098775
