PLATFORM,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH (meter),TEMP (degree_Celsius),QC,BATHY,BATHY_QC,STATION_GLOBAL_QC
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,240,19,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,242,18.9,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,244,18.9,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,246,18.8,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,248,18.8,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,250,18.8,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,252,18.7,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,254,18.6,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,256,18.5,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,258,18.5,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,260,18.4,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,262,18.4,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,264,18.3,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,266,18.3,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,268,18.3,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,270,18.3,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,272,18.3,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,274,18.2,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,276,18.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,278,18,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,280,17.9,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,282,17.8,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,284,17.8,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,286,17.8,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,288,17.7,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,290,17.6,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,292,17.6,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,294,17.5,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,296,17.4,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,298,17.4,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,300,17.4,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,302,17.3,011111, ,9,1
